year,month_num,month_name,actual_mean_temp,actual_min_temp,actual_max_temp,average_min_temp,average_max_temp,record_min_temp,record_max_temp,record_precipitation,actual_precipitation,average_precipitation,city,state,shortcode
2015,2,February,51.642857142857146,40.035714285714285,62.67857142857143,44.75,68.25,10,88,4.93,3.32,3.19,Jacksonville,Florida,JAX
2015,3,March,65.51612903225806,54.096774193548384,76.51612903225806,49.70967741935484,73.70967741935483,23,91,7.12,2.29,3.95,Jacksonville,Florida,JAX
2015,4,April,72.33333333333333,62.43333333333333,81.86666666666666,54.7,79.26666666666667,31,95,7.35,2.67,2.64,Jacksonville,Florida,JAX
2015,5,May,74.90322580645162,63.516129032258064,85.6774193548387,62.774193548387096,85.51612903225806,45,100,8.18,1.08,2.48,Jacksonville,Florida,JAX
2015,6,June,80.96666666666667,70.06666666666666,91.3,70.06666666666666,89.93333333333334,47,103,7.36,6.32,6.45,Jacksonville,Florida,JAX
2014,1,January,42.21739130434783,35.45652173913044,48.47826086956522,34.34782608695652,48.92391304347826,-20,94,3.95,5.6899999999999995,9.23,Chicago,Illinois,MDW
2014,7,July,72.6774193548387,63.806451612903224,80.93548387096774,67.74193548387096,84.3225806451613,46,109,6.16,5.18,4.01,Chicago,Illinois,MDW
2014,8,August,75.6774193548387,68.06451612903226,82.93548387096774,66.19354838709677,82.16129032258064,43,104,3.79,9.28,3.99,Chicago,Illinois,MDW
2014,9,September,66.33333333333333,57.03333333333333,75.16666666666667,57.53333333333333,75.33333333333333,29,102,4.16,2.5,3.31,Chicago,Illinois,MDW
2015,1,January,25.451612903225808,18.903225806451612,31.516129032258064,18.225806451612904,31.483870967741936,-25,67,2.76,1.23,2.06,Chicago,Illinois,MDW
2015,2,February,18.392857142857142,10.25,25.964285714285715,21.785714285714285,35.82142857142857,-20,75,3.25,0.24,1.94,Chicago,Illinois,MDW
2015,3,March,38.32258064516129,29.838709677419356,46.29032258064516,31.0,46.806451612903224,-7,86,2.5,0.48,2.7199999999999998,Chicago,Illinois,MDW
